"","logFC","logCPM","LR","PValue","FDR"
"PITA_06805",-10.0269441719491,2.66332340824836,92.2779200351329,7.53199844837373e-22,1.95899747643752e-18
"PITA_00209",-10.4017819040573,3.02666432619866,89.7730229601743,2.67111783454731e-21,5.78942531322841e-18
"PITA_25299",-9.17209450059816,1.84682150119081,72.6433652698086,1.55328194304605e-17,2.12627947666762e-14
"PITA_13583",-9.53942124315527,2.19534381697908,67.9256555938022,1.69777675706092e-16,2.10273693687607e-13
"PITA_05817",-4.4482472440087,3.07212646751057,52.5273616110835,4.24295575706676e-13,3.34409200865301e-10
"PITA_45678",-6.34041270937044,1.80603987054286,44.7061718963871,2.28934533886786e-11,1.4177043552051e-08
"PITA_41896",-3.77456480307024,2.85082424612139,36.7868609847364,1.31775358910857e-09,4.69499357522258e-07
"PITA_46254",-3.48244712447145,7.83117817333389,35.5811982558864,2.44637400475006e-09,8.48369886527258e-07
"PITA_29196",-3.99899912162356,3.27673379344568,35.1827749289548,3.00166819323178e-09,1.02724194786533e-06
"PITA_38610",-5.29968159216441,1.28756310175548,34.9265598612559,3.42378447099328e-09,1.15648325072811e-06
"PITA_17720",-4.20011388513971,4.79596671386044,34.7252677633091,3.79671565358879e-09,1.26600996710501e-06
"PITA_26356",-2.73686480445297,5.56638926148725,34.0478750971454,5.37725985202315e-09,1.74821439364088e-06
"PITA_24919",-2.68119647854549,6.13796790870725,31.4676755589861,2.02788168206646e-08,5.61097602860282e-06
"PITA_31850",-3.73222378720487,2.36857341958678,29.9461192303972,4.4422007803551e-08,1.12172038928404e-05
"PITA_22123",-2.8740467028647,4.74668896641297,29.8540001569842,4.65834778310799e-08,1.15389492848434e-05
"PITA_23069",-2.00638061388739,6.36346114761051,28.6364720436958,8.73218924348526e-08,2.02781705387329e-05
"PITA_07907",-4.13900993956734,1.34539844764622,28.0413291044332,1.18751999035854e-07,2.68575716775958e-05
"PITA_00986",-2.68874316501065,4.19037874583534,27.9182164554417,1.2655270517034e-07,2.7894146684537e-05
"PITA_22854",-3.18553680666871,2.45601250231492,27.5002736683524,1.57072278230323e-07,3.26823430759397e-05
"PITA_30250",-3.57100721280578,4.6407913024712,25.2875103384095,4.93896507139564e-07,8.98020638391676e-05
"PITA_17377",-2.66857422999586,2.8112993418549,25.2746787122937,4.97193171319164e-07,8.98020638391676e-05
"PITA_42005",-4.29226633876417,1.19630709662947,22.8256788010103,1.77379800024844e-06,0.000274611382074177
"PITA_31225",-1.67136543408205,5.85784127798484,22.5979775394926,1.99694711871225e-06,0.000300223107575646
"PITA_18469",-2.85692726920519,2.28113093163819,22.5068213584453,2.09398686203214e-06,0.000309446047128374
"PITA_09977",-3.44488617208203,3.13569992648779,22.4085377954244,2.20392116047417e-06,0.000323851895269903
"PITA_03793",-3.49225966135184,4.3760863383884,22.1107139564938,2.57369306565899e-06,0.000365787884943851
"PITA_16460",-2.58101517096987,2.56475909532907,22.0607632991854,2.64154316389407e-06,0.000373390739944136
"PITA_42919",-4.67338820909432,2.69095276725719,21.9439100721167,2.80736336433717e-06,0.000393933234311247
"PITA_20015",-1.89149948128394,3.89911726001135,20.6658845860441,5.46816445947271e-06,0.000693763363055735
"PITA_18634",-2.56836671415982,4.59379167757332,20.1883953015317,7.01773763060187e-06,0.000853342662998517
"PITA_30618",-1.8709148554645,4.35946756013014,20.1785240540448,7.05404562054217e-06,0.000853342662998517
"PITA_43294",-2.71824553611989,2.56151086959022,20.0153998469221,7.68209917842675e-06,0.000908198716053188
"PITA_35860",-4.07659636420024,1.12331971345506,18.7432212106626,1.49554030061718e-05,0.00166228665293813
"PITA_39780",-1.46178018669096,4.69018275519973,18.3260619720152,1.86143177693745e-05,0.00198417947075271
"PITA_34546",-2.4897955691018,4.08108861132987,17.8971118602814,2.33174696879701e-05,0.00241619151041599
"PITA_15007",-1.84276795179252,5.02494423019416,17.0868999792001,3.57077602970399e-05,0.00343971532431745
"PITA_46721",-3.59747199766372,4.68755370021072,17.0083280940339,3.7216223001158e-05,0.00354562909903707
"PITA_41416",-1.82690190925797,4.91127834048362,16.8926289833938,3.95548867886599e-05,0.00375468266600824
"PITA_45005",-2.37967115766756,2.77384577669679,16.5855503359359,4.65039883351064e-05,0.00429645404899452
"PITA_44539",-1.72442142570829,4.20882780506638,16.5822952039776,4.65838764203335e-05,0.00429645404899452
"PITA_11028",-3.3399330786204,2.30486510010401,16.3445339050512,5.28082525098569e-05,0.00476906194280857
"PITA_10183",-2.16075697517951,5.614007404627,16.3287261534866,5.32505821836191e-05,0.00478321620062953
"PITA_40902",-2.03917571502784,4.96338484291106,16.3258025851675,5.33327962698514e-05,0.00478321620062953
"PITA_09818",-2.80371862553723,1.84526436962266,16.2099915652153,5.66943038817986e-05,0.00501551751585612
"PITA_28273",-3.26072979138951,0.669110686024326,15.9666735286211,6.44674354437084e-05,0.00549748697854234
"PITA_08560",-3.19729321370606,0.746517842044997,15.9303680304124,6.57158296912007e-05,0.00556743652911544
"PITA_28306",-3.17506152142303,1.67026043102709,15.7999736654051,7.04034881815966e-05,0.00587100746619311
"PITA_15295",-2.38657167783617,4.62944142865229,15.7329635209971,7.29418959361169e-05,0.00606116859872992
"PITA_05153",-3.22573968536777,0.67601386790379,15.4599531058284,8.42719743650595e-05,0.00680692478652432
"PITA_23781",-2.54342038681161,2.31480720267676,15.4226539934101,8.59516959709465e-05,0.00692110730807538
"PITA_02678",-1.33366270191853,5.94591860392265,15.3352492185102,9.00210403282087e-05,0.00720417611660424
"PITA_02431",-3.77518183842403,3.16643541090176,15.3112504962296,9.11719050939628e-05,0.00727389594965914
"PITA_24359",-2.26609843983588,2.6011083559507,15.2793243045892,9.27259164057622e-05,0.00737525492292804
"PITA_51133",-1.33569953330822,5.99777341561244,15.2235778572266,9.55035646026489e-05,0.00755000672264527
"PITA_31682",-2.12832170115217,2.60083304509656,15.1080028264795,0.000101531952836718,0.00795404988352471
"PITA_06351",-2.47506932264779,2.21574766293329,15.0306466142696,0.000105779391355856,0.00820725671343545
"PITA_09974",-2.93187290983261,2.06866775647987,15.0302822877149,0.000105799813004847,0.00820725671343545
"PITA_48808",-1.58792607283787,6.84301781499339,14.9234407269129,0.000111963136375069,0.00850283172222801
