"","logFC","logCPM","LR","PValue","FDR"
"PITA_45726",9.4299633890037,5.15721951948289,186.634955158488,1.72536662822879e-42,4.48750606336027e-38
"PITA_40477",11.3767137036017,3.97850720661616,163.546647510426,1.90020258807609e-37,2.47111845566356e-33
"PITA_34642",12.5013013578092,5.09769167563024,161.324188154586,5.81214440885321e-37,5.03893546432877e-33
"PITA_21495",4.75390853419755,4.59313985602874,115.273233928073,6.8568083399712e-27,4.45846820285777e-23
"PITA_07064",3.85237443315996,8.28464756962089,111.897066737924,3.76351211149737e-26,1.9577037301587e-22
"PITA_20445",3.95012153054796,9.95953540866714,104.787523586463,1.35960775143649e-24,5.89367300118529e-21
"PITA_13285",10.6127062531185,3.22097048553088,98.7323910654253,2.89035643082048e-23,1.07393257727443e-19
"PITA_49717",11.3641324594544,3.9710571673765,97.430752525778,5.57730561795941e-23,1.81325177271883e-19
"PITA_23254",9.95940052618181,2.58667725695053,94.278763034299,2.74075085795422e-22,7.9204654516146e-19
"PITA_25260",7.93706535527707,3.17198048564849,90.5360289018888,1.81639079936636e-21,4.29477348188362e-18
"PITA_29149",10.8396150562597,3.45408013655862,88.6794425649213,4.64264946990343e-21,9.28851308174755e-18
"PITA_15444",11.5512981006811,4.15430530178632,88.429612963483,5.26762930151245e-21,9.78612646450267e-18
"PITA_32490",7.37920740341587,2.63473308506394,84.7352863424144,3.411081098701e-20,5.91458721974096e-17
"PITA_41407",7.11522544833696,5.02956215163957,83.1851679934222,7.47162210636237e-20,1.21455887102737e-16
"PITA_23992",9.39519742919502,2.03873251022287,82.7404991282098,9.3564455341396e-20,1.43148112880845e-16
"PITA_24441",6.98059062162902,4.69270858350059,78.2314535746205,9.16475354420652e-19,1.32425597184037e-15
"PITA_00577",9.108339047686,1.76737211390555,71.0652644556938,3.45601371923404e-17,4.4943730411779e-14
"PITA_08448",3.75051988675931,5.85681854247551,67.6805740855949,1.92248363014375e-16,2.27281257892768e-13
"PITA_03091",4.93295111817192,3.59107024840628,67.520525128898,2.08505136202454e-16,2.35783047282157e-13
"PITA_36517",2.92508602459063,9.07246803501967,67.2278807237469,2.41869304904348e-16,2.62115781302383e-13
"PITA_25599",5.47367598236262,6.30811507367985,66.4694295733484,3.5536228282718e-16,3.69704704562085e-13
"PITA_12330",11.5388561353017,4.14272894483699,64.572864391363,9.30277406964057e-16,9.30599426066468e-13
"PITA_05464",5.68546282516259,2.6025292469333,63.6951361870721,1.45242742007195e-15,1.3991179543945e-12
"PITA_33662",7.23213697043675,1.73573278944106,57.0804913501987,4.18334899047187e-14,3.8858829961851e-11
"PITA_47363",8.8744145609864,1.55430746203375,56.4278264047534,5.82994639074254e-14,5.22865778195941e-11
"PITA_39929",3.32230018782118,5.55520231676033,56.1035364790431,6.87533375806831e-14,5.96068519045329e-11
"PITA_08209",5.29556003916821,3.08841130634906,54.7803074473753,1.34784563718695e-13,1.13084248959985e-10
"PITA_07942",7.33212919009416,3.48518667876839,53.7455480993255,2.28210735249086e-13,1.85485406659171e-10
"PITA_30342",9.3730292572569,2.0015921846544,52.0370750684382,5.44625388099469e-13,4.16622403502326e-10
"PITA_27636",3.29466543906529,5.43722245799856,50.9112542757525,9.66379013356373e-13,7.18130050239597e-10
"PITA_44205",3.69545353128585,4.68949816492063,50.1073714408531,1.45559157188262e-12,1.05162447758597e-09
"PITA_43112",3.68122424216065,7.22353941484106,49.2405899329976,2.26416874343936e-12,1.59158823913823e-09
"PITA_23553",3.49494269924903,4.12922687875834,47.807951942641,4.70081521703974e-12,3.21746060473649e-09
"PITA_04373",10.2127108877112,2.84731535885326,47.23294025059,6.30322035870288e-12,4.20360149511547e-09
"PITA_11859",2.57568926965163,6.45977667969798,46.5564534519384,8.90166079491745e-12,5.7880823903752e-09
"PITA_00967",2.73947792564686,5.05444031402351,44.9434908284329,2.02803224861812e-11,1.28651440864168e-08
"PITA_22157",7.13767474956255,1.64232163303825,44.4415757325685,2.62062217120223e-11,1.57766957394038e-08
"PITA_41232",6.20808410092872,6.38474454821057,44.4057806467556,2.66897847873338e-11,1.57766957394038e-08
"PITA_31556",3.85245173628811,4.57396396841153,43.5953366192863,4.03800141696904e-11,2.33387508564329e-08
"PITA_47823",2.62824799285067,5.84804538297909,43.3830217330688,4.50076400782542e-11,2.50088274851503e-08
"PITA_26516",2.85218903881879,6.24685082202136,43.3749959103287,4.51926214695707e-11,2.50088274851503e-08
"PITA_42897",2.32423509398875,7.98846661289992,43.146374527885,5.07939302561497e-11,2.75229027506708e-08
"PITA_44090",3.85240499593859,4.40481234973933,43.076046002674,5.26529737692292e-11,2.79479835666098e-08
"PITA_40371",3.71784057311591,6.55773990731486,42.8679994991564,5.85607852976556e-11,3.04621492961345e-08
"PITA_46720",2.57805240230918,5.25869497086677,42.2356112841708,8.09131391100426e-11,4.12641144139823e-08
"PITA_12400",8.18692032626921,0.922721817690045,42.1728219340322,8.35531617406804e-11,4.17910419944876e-08
"PITA_33251",8.35517551805005,1.036494711339,41.8988607385504,9.61186246512527e-11,4.71688548783855e-08
"PITA_15611",3.92353863805735,4.80858600159238,41.6135219256809,1.11221348147645e-10,5.35695563698538e-08
"PITA_14368",5.5716125792369,2.84483782567582,41.544159468044,1.15238244822391e-10,5.44951183561012e-08
"PITA_32480",8.06888692124531,0.78105269919772,41.1580691800302,1.40402430287763e-10,6.52094073099006e-08
"PITA_16805",5.46668461499779,1.96024256374794,40.7063127173753,1.76914731359774e-10,8.07258815427431e-08
"PITA_39753",4.87302441299334,3.16174803185247,40.6243640767917,1.84491874965118e-10,8.26765622102894e-08
"PITA_04324",5.40939550354494,1.89112233244775,40.561433474577,1.90530384832389e-10,8.26765622102894e-08
"PITA_02699",5.67329518705199,2.32669260048457,40.5594279331278,1.90726046084715e-10,8.26765622102894e-08
"PITA_24322",7.81168450595652,0.564355801419984,40.4009347279336,2.06842120246916e-10,8.81927328770826e-08
"PITA_33335",3.31146707217264,3.05980011231942,39.6755406777367,2.9985748540334e-10,1.25790215126701e-07
"PITA_28142",6.24143478147295,3.13635412043436,39.4596988403235,3.34900225962422e-10,1.38260634556455e-07
